id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
547,"Industrial Road, Vijayawada",Vijayawada,16.433914,80.722257,Industrial Road,10,6,0,1,98,5,Sexual Harassment,47.41,Medium,59.88,"16.428851,80.722652 -> 16.433998,80.722052 -> 16.436392,80.724126 -> 16.434659,80.723382 -> 16.433653,80.726696",True,call my mother,Relative,Notify selected relative
548,"Park Road, Hyderabad",Hyderabad,17.333228,78.491588,Park Road,9,2,4,7,17,2,Theft,33.61,Medium,80.81,"17.335261,78.489478 -> 17.328869,78.49198 -> 17.333931,78.495312 -> 17.330052,78.494475 -> 17.339147,78.490644",True,call my mother,Relative,Notify selected relative
549,"Bus Stop Area, Bengaluru",Bengaluru,12.926417,77.580356,Bus Stop Area,10,1,1,9,93,9,Assault,41.16,Medium,73.71,"12.927826,77.578878 -> 12.930305,77.57757 -> 12.922069,77.583123",True,call my sister,Relative,Notify selected relative
550,"Park Road, Chennai",Chennai,13.003088,80.263555,Park Road,10,6,4,8,73,10,Theft,27.07,Low,100.0,"13.003058,80.260753 -> 13.002945,80.263428 -> 13.00349,80.265211 -> 13.00049,80.267774 -> 13.003701,80.265372",True,help me,Help,Trigger emergency alert and share location
551,"Industrial Road, Mumbai",Mumbai,19.054015,72.922723,Industrial Road,8,3,9,3,90,5,None,39.77,Medium,71.94,"19.054709,72.92039 -> 19.051523,72.924444 -> 19.052906,72.920588 -> 19.052407,72.92447",False,none,No Alert,No action
552,"Residential Street, Mumbai",Mumbai,19.053984,72.873582,Residential Street,4,10,6,6,5,6,Robbery,24.43,Low,86.04,"19.049191,72.869904 -> 19.054825,72.871739 -> 19.056626,72.875999 -> 19.055782,72.878131 -> 19.053776,72.875204",True,mom,Relative,Notify selected relative
553,"Main Road, Bengaluru",Bengaluru,12.951146,77.680433,Main Road,4,5,4,1,39,5,None,44.84,Medium,70.98,"12.951176,77.681399 -> 12.954544,77.680065 -> 12.949504,77.682618 -> 12.951342,77.68089 -> 12.94906,77.676139 -> 12.951736,77.682695 -> 12.950581,77.684024",True,mom,Relative,Notify selected relative
554,"Residential Street, Visakhapatnam",Visakhapatnam,17.662163,83.181585,Residential Street,6,6,6,9,78,1,None,39.68,Medium,74.08,"17.661957,83.18351 -> 17.660226,83.185005 -> 17.66708,83.181487 -> 17.665287,83.178944",True,save me,Help,Trigger emergency alert and share location
555,"Industrial Road, Pune",Pune,18.558033,73.893355,Industrial Road,8,1,10,2,61,3,Sexual Harassment,39.25,Medium,77.87,"18.557994,73.885969 -> 18.556429,73.89179 -> 18.555587,73.893661 -> 18.556986,73.891293 -> 18.555386,73.891566 -> 18.560837,73.891702",True,mom,Relative,Notify selected relative
556,"Park Road, Mumbai",Mumbai,19.057977,72.861716,Park Road,1,9,4,9,92,6,None,45.09,Medium,65.7,"19.059118,72.854104 -> 19.060531,72.865307 -> 19.055352,72.859285 -> 19.056851,72.859826 -> 19.058537,72.85685 -> 19.055182,72.865564 -> 19.055656,72.864825",True,mom,Relative,Notify selected relative
557,"College Road, Pune",Pune,18.532837,73.793376,College Road,2,3,4,0,43,7,Theft,50.93,Medium,55.84,"18.532543,73.792237 -> 18.533449,73.794563 -> 18.534606,73.796322 -> 18.533857,73.789937 -> 18.531653,73.800734 -> 18.534648,73.799299 -> 18.536326,73.793981",True,help me,Help,Trigger emergency alert and share location
558,"Market Road, Delhi",Delhi,28.624449,77.20772,Market Road,10,2,4,5,90,1,None,46.14,Medium,58.67,"28.624494,77.210747 -> 28.62295,77.20875 -> 28.626578,77.205446 -> 28.623321,77.205175 -> 28.622394,77.204501",True,call my father,Relative,Notify selected relative
559,"College Road, Bengaluru",Bengaluru,12.940084,77.644281,College Road,8,5,3,8,38,3,Robbery,34.23,Medium,74.7,"12.9404,77.643024 -> 12.943031,77.647559 -> 12.942244,77.645046",True,call my mother,Relative,Notify selected relative
560,"Residential Street, Bengaluru",Bengaluru,12.963513,77.552884,Residential Street,8,9,0,7,64,3,Sexual Harassment,37.91,Medium,83.11,"12.961614,77.554543 -> 12.966162,77.551496 -> 12.966108,77.554795 -> 12.967833,77.551711",True,call my mother,Relative,Notify selected relative
561,"College Road, Chennai",Chennai,13.037695,80.253008,College Road,3,2,8,10,16,4,Harassment,34.36,Medium,80.08,"13.037841,80.252024 -> 13.032922,80.254184 -> 13.042626,80.254169",True,call my sister,Relative,Notify selected relative
562,"Main Road, Hyderabad",Hyderabad,17.40632,78.506736,Main Road,5,1,10,9,11,6,None,27.66,Low,89.63,"17.408649,78.507724 -> 17.405538,78.504746 -> 17.405698,78.507521 -> 17.40553,78.507522 -> 17.407418,78.508819 -> 17.409527,78.506931",False,none,No Alert,No action
563,"Main Road, Chennai",Chennai,13.036928,80.258621,Main Road,10,5,10,3,41,4,None,25.16,Low,90.16,"13.032339,80.262093 -> 13.037284,80.259574 -> 13.040342,80.257046 -> 13.038363,80.258346",True,call police,Emergency,Trigger emergency alert and share location
564,"Industrial Road, Pune",Pune,18.513957,73.829673,Industrial Road,2,5,2,2,35,2,Theft,52.39,Medium,59.94,"18.513018,73.831422 -> 18.509269,73.832623 -> 18.516588,73.829917",True,dad,Relative,Notify selected relative
565,"Bus Stop Area, Hyderabad",Hyderabad,17.377057,78.5007,Bus Stop Area,9,6,8,5,34,3,None,26.32,Low,99.83,"17.372649,78.502655 -> 17.374778,78.50065 -> 17.376437,78.499629 -> 17.377031,78.497865 -> 17.37963,78.496215",True,dad,Relative,Notify selected relative
566,"Railway Station Road, Hyderabad",Hyderabad,17.403892,78.475271,Railway Station Road,10,6,8,7,6,3,Sexual Harassment,18.23,Low,92.82,"17.404398,78.471379 -> 17.403991,78.471714 -> 17.405045,78.47296",True,call my sister,Relative,Notify selected relative
567,"Residential Street, Visakhapatnam",Visakhapatnam,17.671015,83.228788,Residential Street,7,1,1,6,50,3,Stalking,47.95,Medium,58.48,"17.67087,83.225003 -> 17.672592,83.2332 -> 17.677996,83.229016 -> 17.672986,83.224336 -> 17.674772,83.230729 -> 17.669805,83.231881 -> 17.670379,83.227643",True,dad,Relative,Notify selected relative
568,"College Road, Mumbai",Mumbai,19.092637,72.840483,College Road,5,6,3,10,68,2,None,42.18,Medium,75.43,"19.089997,72.837858 -> 19.090363,72.842382 -> 19.091095,72.837113 -> 19.091123,72.840403 -> 19.089685,72.837604 -> 19.097915,72.838332",True,dad,Relative,Notify selected relative
569,"Residential Street, Mumbai",Mumbai,19.064694,72.864847,Residential Street,8,5,10,10,90,8,Abduction,26.59,Low,89.7,"19.066247,72.867217 -> 19.063929,72.861756 -> 19.06788,72.864609 -> 19.06902,72.859233 -> 19.065183,72.869644 -> 19.063811,72.864283",True,save me,Help,Trigger emergency alert and share location
570,"Railway Station Road, Vijayawada",Vijayawada,16.516543,80.628442,Railway Station Road,6,7,2,10,42,6,None,32.59,Medium,78.65,"16.515698,80.626873 -> 16.519615,80.629595 -> 16.51717,80.630463 -> 16.515882,80.626506 -> 16.515036,80.628446 -> 16.513895,80.627191",True,call my sister,Relative,Notify selected relative
571,"Residential Street, Mumbai",Mumbai,19.057936,72.952059,Residential Street,6,8,7,2,36,6,None,30.73,Medium,65.1,"19.057487,72.956373 -> 19.058241,72.953943 -> 19.058186,72.950391 -> 19.052331,72.952573 -> 19.055997,72.950058 -> 19.056689,72.956421 -> 19.063948,72.952602",True,dad,Relative,Notify selected relative
572,"Park Road, Hyderabad",Hyderabad,17.368733,78.445497,Park Road,2,6,8,10,9,5,Harassment,28.7,Low,86.24,"17.37319,78.444879 -> 17.362786,78.447172 -> 17.371196,78.441532 -> 17.369174,78.446625 -> 17.36855,78.44352 -> 17.371273,78.444489 -> 17.36502,78.440373",True,call my sister,Relative,Notify selected relative
573,"Bus Stop Area, Delhi",Delhi,28.65803,77.230583,Bus Stop Area,10,4,8,2,61,7,None,30.61,Medium,83.23,"28.656929,77.229261 -> 28.655341,77.229504 -> 28.65273,77.228743",True,call my mother,Relative,Notify selected relative
574,"Park Road, Delhi",Delhi,28.603017,77.230346,Park Road,10,6,8,3,22,2,None,25.32,Low,88.58,"28.605004,77.233719 -> 28.605662,77.231522 -> 28.603047,77.227894 -> 28.604867,77.234545 -> 28.603872,77.235139 -> 28.599203,77.227461 -> 28.605155,77.231007",True,call my sister,Relative,Notify selected relative
575,"College Road, Mumbai",Mumbai,19.121982,72.877158,College Road,9,2,7,2,39,7,None,33.02,Medium,74.74,"19.121448,72.873326 -> 19.119161,72.879589 -> 19.124164,72.878066",True,dad,Relative,Notify selected relative
576,"College Road, Delhi",Delhi,28.553662,77.196456,College Road,8,1,1,3,17,10,Stalking,37.25,Medium,65.63,"28.556603,77.194997 -> 28.550948,77.19653 -> 28.552062,77.200165",True,help me,Help,Trigger emergency alert and share location
577,"Railway Station Road, Mumbai",Mumbai,19.050282,72.828727,Railway Station Road,7,10,9,7,25,4,Theft,18.98,Low,85.26,"19.050205,72.827322 -> 19.04671,72.8317 -> 19.05195,72.828656 -> 19.053693,72.830383 -> 19.048225,72.826129",True,call police,Emergency,Trigger emergency alert and share location
578,"Park Road, Chennai",Chennai,13.111329,80.284573,Park Road,6,2,9,0,78,9,Sexual Harassment,41.95,Medium,68.19,"13.109213,80.286093 -> 13.10944,80.284318 -> 13.114946,80.282921 -> 13.107397,80.281942 -> 13.113815,80.28521 -> 13.111007,80.2833",True,help me,Help,Trigger emergency alert and share location
579,"College Road, Visakhapatnam",Visakhapatnam,17.703788,83.188781,College Road,9,1,0,8,45,2,None,43.98,Medium,70.35,"17.70196,83.186537 -> 17.702194,83.187842 -> 17.703666,83.18937 -> 17.694567,83.186762 -> 17.702809,83.192544",False,none,No Alert,No action
580,"College Road, Delhi",Delhi,28.5761,77.214698,College Road,7,7,6,6,69,4,None,35.07,Medium,85.21,"28.572818,77.215683 -> 28.574094,77.213436 -> 28.574092,77.212868 -> 28.582905,77.216809",True,call my sister,Relative,Notify selected relative
581,"College Road, Delhi",Delhi,28.652461,77.22622,College Road,7,3,4,10,16,3,Stalking,32.09,Medium,74.48,"28.653448,77.228902 -> 28.650328,77.228633 -> 28.654222,77.23085",True,help,Help,Trigger emergency alert and share location
582,"Industrial Road, Vijayawada",Vijayawada,16.491578,80.609584,Industrial Road,7,3,1,2,82,7,Sexual Harassment,50.32,Medium,55.37,"16.495167,80.605013 -> 16.486407,80.609807 -> 16.490472,80.609603 -> 16.493941,80.608203 -> 16.486895,80.614695 -> 16.489085,80.606936",True,dad,Relative,Notify selected relative
583,"Industrial Road, Vijayawada",Vijayawada,16.54483,80.634543,Industrial Road,9,7,8,7,49,6,Harassment,22.8,Low,92.99,"16.546037,80.637252 -> 16.543996,80.638343 -> 16.539491,80.636442 -> 16.542731,80.637974",True,help me,Help,Trigger emergency alert and share location
584,"Industrial Road, Visakhapatnam",Visakhapatnam,17.691772,83.194948,Industrial Road,4,9,4,6,69,10,Abduction,35.07,Medium,77.65,"17.694005,83.196553 -> 17.689198,83.193738 -> 17.691762,83.194845 -> 17.693646,83.189911 -> 17.692608,83.194223",False,none,No Alert,No action
585,"College Road, Mumbai",Mumbai,19.046652,72.851713,College Road,2,10,7,1,18,9,Theft,30.59,Medium,74.14,"19.037649,72.84996 -> 19.044462,72.853045 -> 19.044638,72.851175 -> 19.050508,72.854199 -> 19.048908,72.850463",True,call my sister,Relative,Notify selected relative
586,"Bus Stop Area, Hyderabad",Hyderabad,17.404006,78.478514,Bus Stop Area,8,2,10,10,69,10,None,25.52,Low,91.9,"17.40503,78.477022 -> 17.407739,78.478114 -> 17.405552,78.482153 -> 17.406585,78.474992 -> 17.405118,78.480641",True,dad,Relative,Notify selected relative
587,"Main Road, Pune",Pune,18.551615,73.817735,Main Road,8,8,8,7,73,6,Abduction,27.07,Low,84.95,"18.554101,73.815831 -> 18.550866,73.821675 -> 18.551496,73.815918 -> 18.549421,73.818567 -> 18.548282,73.817117 -> 18.552448,73.820983",True,call my mother,Relative,Notify selected relative
588,"Railway Station Road, Chennai",Chennai,13.106064,80.245708,Railway Station Road,3,1,9,4,93,10,Stalking,46.61,Medium,68.98,"13.105315,80.242619 -> 13.105634,80.249303 -> 13.106477,80.245739 -> 13.110157,80.24213 -> 13.10285,80.241668",False,none,No Alert,No action
589,"Main Road, Vijayawada",Vijayawada,16.519243,80.653827,Main Road,5,10,0,4,62,2,None,45.32,Medium,69.2,"16.519852,80.652817 -> 16.519247,80.654121 -> 16.515064,80.660603 -> 16.520543,80.654352",True,mom,Relative,Notify selected relative
590,"Railway Station Road, Chennai",Chennai,13.104231,80.295529,Railway Station Road,3,10,4,4,32,1,None,39.64,Medium,66.86,"13.102653,80.297028 -> 13.105195,80.293504 -> 13.107779,80.296262",True,dad,Relative,Notify selected relative
591,"Industrial Road, Vijayawada",Vijayawada,16.531744,80.696717,Industrial Road,6,3,4,3,62,3,None,47.59,Medium,61.42,"16.532536,80.698742 -> 16.529932,80.696852 -> 16.532058,80.694327 -> 16.537538,80.693199 -> 16.528499,80.700003 -> 16.533527,80.694152 -> 16.533262,80.700387",False,none,No Alert,No action
592,"Market Road, Hyderabad",Hyderabad,17.383941,78.577659,Market Road,10,3,7,6,98,7,Assault,35.59,Medium,71.49,"17.385676,78.580575 -> 17.386169,78.577148 -> 17.383215,78.578769 -> 17.38598,78.579165",True,call my sister,Relative,Notify selected relative
593,"Bus Stop Area, Vijayawada",Vijayawada,16.542602,80.61234,Bus Stop Area,10,6,0,10,33,2,Harassment,31.61,Medium,82.25,"16.540252,80.611375 -> 16.54514,80.61261 -> 16.549119,80.612824",True,help me,Help,Trigger emergency alert and share location
594,"Railway Station Road, Mumbai",Mumbai,19.078089,72.881416,Railway Station Road,8,9,3,6,87,7,None,34.75,Medium,74.16,"19.077944,72.884235 -> 19.078374,72.879432 -> 19.075776,72.88029 -> 19.078274,72.8844 -> 19.074738,72.880616 -> 19.07845,72.876832",True,call police,Emergency,Trigger emergency alert and share location
595,"Main Road, Delhi",Delhi,28.584724,77.185204,Main Road,5,8,6,10,40,9,Sexual Harassment,24.55,Low,85.47,"28.585204,77.184803 -> 28.583336,77.186274 -> 28.589032,77.189302",True,help,Help,Trigger emergency alert and share location
596,"Park Road, Pune",Pune,18.453103,73.876898,Park Road,10,5,5,4,34,2,Harassment,31.77,Medium,80.64,"18.453491,73.875902 -> 18.453397,73.877277 -> 18.451656,73.874657 -> 18.451981,73.877484 -> 18.4546,73.879031",True,dad,Relative,Notify selected relative
597,"Bus Stop Area, Bengaluru",Bengaluru,12.954303,77.604535,Bus Stop Area,9,6,10,2,40,9,Robbery,21.82,Low,96.59,"12.957217,77.604388 -> 12.953751,77.605013 -> 12.951429,77.604051",False,none,No Alert,No action
598,"Park Road, Visakhapatnam",Visakhapatnam,17.712861,83.240968,Park Road,2,9,1,10,57,6,None,40.89,Medium,66.86,"17.713405,83.238906 -> 17.71462,83.240773 -> 17.712171,83.240064 -> 17.712704,83.239848",True,call police,Emergency,Trigger emergency alert and share location
599,"Main Road, Visakhapatnam",Visakhapatnam,17.709835,83.204665,Main Road,10,2,0,9,84,4,Stalking,44.27,Medium,77.99,"17.713498,83.202436 -> 17.710009,83.203038 -> 17.709018,83.209671 -> 17.709066,83.205566 -> 17.711188,83.202163 -> 17.707697,83.20165 -> 17.70762,83.19754",True,help,Help,Trigger emergency alert and share location
600,"Residential Street, Hyderabad",Hyderabad,17.40406,78.558597,Residential Street,10,3,6,10,97,10,Stalking,30.43,Medium,88.31,"17.400519,78.55699 -> 17.402913,78.556053 -> 17.40621,78.560623 -> 17.401171,78.56041",True,help,Help,Trigger emergency alert and share location
601,"Railway Station Road, Chennai",Chennai,13.136138,80.33729,Railway Station Road,8,2,10,7,35,7,None,25.57,Low,100.0,"13.133883,80.344351 -> 13.135252,80.335809 -> 13.136956,80.335835 -> 13.137136,80.33399 -> 13.135541,80.340504",True,call police,Emergency,Trigger emergency alert and share location
602,"Railway Station Road, Hyderabad",Hyderabad,17.383003,78.491656,Railway Station Road,1,7,6,5,7,5,Harassment,36.11,Medium,73.56,"17.38593,78.487518 -> 17.384464,78.490986 -> 17.38342,78.494306 -> 17.380018,78.489124 -> 17.378164,78.490283",True,help me,Help,Trigger emergency alert and share location
603,"Bus Stop Area, Mumbai",Mumbai,19.122565,72.873479,Bus Stop Area,10,7,2,10,62,2,Assault,32.14,Medium,77.16,"19.121351,72.869759 -> 19.119752,72.874451 -> 19.11963,72.876261 -> 19.122387,72.873693",True,mom,Relative,Notify selected relative
604,"Residential Street, Bengaluru",Bengaluru,12.961857,77.62165,Residential Street,8,5,1,0,9,2,Assault,40.52,Medium,70.29,"12.962695,77.623062 -> 12.961327,77.623006 -> 12.961012,77.621656 -> 12.96117,77.620507 -> 12.960134,77.622819 -> 12.965134,77.624578 -> 12.958716,77.624873",True,call police,Emergency,Trigger emergency alert and share location
605,"Industrial Road, Visakhapatnam",Visakhapatnam,17.675664,83.239526,Industrial Road,3,1,0,10,49,5,Sexual Harassment,50.98,Medium,53.89,"17.676019,83.24031 -> 17.671952,83.241047 -> 17.679029,83.239089 -> 17.679064,83.239052",True,call my mother,Relative,Notify selected relative
606,"Industrial Road, Visakhapatnam",Visakhapatnam,17.716535,83.14085,Industrial Road,8,7,6,1,69,4,Abduction,37.8,Medium,84.4,"17.720274,83.140138 -> 17.711605,83.14157 -> 17.712925,83.141962",True,call my father,Relative,Notify selected relative
607,"Residential Street, Mumbai",Mumbai,19.090405,72.844751,Residential Street,10,9,5,5,87,5,Stalking,31.11,Medium,88.49,"19.092419,72.847191 -> 19.090427,72.841212 -> 19.09285,72.844075 -> 19.086931,72.848131 -> 19.095654,72.844648 -> 19.095803,72.844979",False,none,No Alert,No action
608,"College Road, Hyderabad",Hyderabad,17.371684,78.464634,College Road,9,6,1,7,97,5,Theft,42.25,Medium,78.54,"17.369734,78.466472 -> 17.370286,78.463483 -> 17.37426,78.463684 -> 17.370672,78.467466",True,help me,Help,Trigger emergency alert and share location
609,"Bus Stop Area, Delhi",Delhi,28.669809,77.231564,Bus Stop Area,5,7,1,10,88,6,Sexual Harassment,43.09,Medium,65.14,"28.668532,77.231764 -> 28.670611,77.229094 -> 28.671617,77.231778 -> 28.66552,77.229242 -> 28.668549,77.231382 -> 28.674532,77.232159",True,help,Help,Trigger emergency alert and share location
610,"Bus Stop Area, Mumbai",Mumbai,19.046573,72.885422,Bus Stop Area,3,1,3,0,92,10,Harassment,58.27,Medium,43.87,"19.047385,72.886873 -> 19.049596,72.885361 -> 19.05067,72.887692 -> 19.044804,72.890947",True,call my sister,Relative,Notify selected relative
611,"Industrial Road, Chennai",Chennai,13.094145,80.241471,Industrial Road,9,8,0,0,43,1,Harassment,42.3,Medium,73.17,"13.099339,80.241388 -> 13.092886,80.24104 -> 13.095932,80.244666 -> 13.095571,80.241725 -> 13.09789,80.240689",False,none,No Alert,No action
612,"Industrial Road, Bengaluru",Bengaluru,13.007682,77.584518,Industrial Road,9,3,9,3,9,1,Stalking,28.7,Low,87.25,"13.007398,77.584378 -> 13.006739,77.58788 -> 13.00585,77.582667 -> 13.012984,77.586963",True,call my sister,Relative,Notify selected relative
613,"Main Road, Mumbai",Mumbai,18.992521,72.857916,Main Road,4,3,0,2,80,1,Harassment,62.27,High,33.27,"18.990144,72.85007 -> 18.992179,72.855061 -> 18.992671,72.853853 -> 18.992728,72.856879 -> 18.996276,72.861444",True,help,Help,Trigger emergency alert and share location
614,"Residential Street, Vijayawada",Vijayawada,16.533687,80.636569,Residential Street,2,2,7,9,78,4,Harassment,48.32,Medium,73.01,"16.529804,80.63306 -> 16.533478,80.642204 -> 16.533181,80.636111",True,save me,Help,Trigger emergency alert and share location
615,"College Road, Delhi",Delhi,28.563433,77.242108,College Road,2,10,8,2,41,4,None,36.52,Medium,75.24,"28.565406,77.240535 -> 28.561666,77.238875 -> 28.563643,77.239407",True,dad,Relative,Notify selected relative
616,"Residential Street, Hyderabad",Hyderabad,17.34379,78.471871,Residential Street,5,3,6,2,89,6,Harassment,49.16,Medium,56.8,"17.342445,78.473037 -> 17.343988,78.471151 -> 17.344248,78.469392 -> 17.344053,78.472248 -> 17.340032,78.47436 -> 17.341586,78.472097 -> 17.346701,78.474185",True,help me,Help,Trigger emergency alert and share location
617,"Market Road, Visakhapatnam",Visakhapatnam,17.688002,83.205813,Market Road,2,10,6,2,2,8,None,29.41,Low,81.33,"17.689689,83.204267 -> 17.686015,83.200632 -> 17.688387,83.205606",False,none,No Alert,No action
618,"Railway Station Road, Hyderabad",Hyderabad,17.424767,78.499267,Railway Station Road,7,8,2,3,18,5,Harassment,32.86,Medium,82.51,"17.423024,78.502112 -> 17.423445,78.501211 -> 17.42112,78.499855 -> 17.419805,78.498599 -> 17.425868,78.497965 -> 17.422141,78.501382 -> 17.424508,78.498043",True,call my sister,Relative,Notify selected relative
619,"Main Road, Vijayawada",Vijayawada,16.507666,80.740283,Main Road,10,3,7,9,11,5,None,20.84,Low,100.0,"16.510572,80.741372 -> 16.508082,80.734293 -> 16.505969,80.739082 -> 16.502979,80.737389 -> 16.502714,80.740187",True,call my father,Relative,Notify selected relative
620,"Bus Stop Area, Bengaluru",Bengaluru,13.000257,77.633337,Bus Stop Area,2,9,1,9,46,9,Harassment,37.32,Medium,73.16,"12.997849,77.628507 -> 12.995865,77.630165 -> 12.998035,77.632938 -> 12.997722,77.634184 -> 12.999676,77.633363 -> 13.003108,77.630386 -> 13.001304,77.633302",True,save me,Help,Trigger emergency alert and share location
621,"Railway Station Road, Bengaluru",Bengaluru,12.959928,77.625584,Railway Station Road,1,4,1,2,87,8,None,59.75,Medium,47.35,"12.957562,77.625129 -> 12.960631,77.624901 -> 12.961391,77.626287 -> 12.964509,77.621758 -> 12.959622,77.623313 -> 12.961438,77.621541",True,help me,Help,Trigger emergency alert and share location
622,"Main Road, Visakhapatnam",Visakhapatnam,17.698921,83.196448,Main Road,6,5,3,6,32,6,None,36.0,Medium,70.83,"17.695305,83.195285 -> 17.701632,83.196385 -> 17.70049,83.20061 -> 17.69958,83.195051 -> 17.700089,83.195087 -> 17.69766,83.192648 -> 17.701237,83.195483",True,call my sister,Relative,Notify selected relative
623,"Market Road, Visakhapatnam",Visakhapatnam,17.693173,83.182241,Market Road,3,1,7,8,14,2,Theft,40.41,Medium,73.27,"17.691268,83.181887 -> 17.695368,83.184218 -> 17.693118,83.177821 -> 17.700655,83.186606",True,call my sister,Relative,Notify selected relative
624,"Park Road, Pune",Pune,18.545694,73.830338,Park Road,4,6,3,1,41,4,Assault,46.07,Medium,58.76,"18.544335,73.833498 -> 18.54635,73.828378 -> 18.544517,73.833141",True,save me,Help,Trigger emergency alert and share location
625,"Park Road, Bengaluru",Bengaluru,13.027603,77.648092,Park Road,4,2,7,9,62,1,None,44.86,Medium,71.92,"13.026971,77.639988 -> 13.028346,77.648087 -> 13.027953,77.648227 -> 13.024287,77.649486 -> 13.029184,77.649798 -> 13.029969,77.649602",True,help me,Help,Trigger emergency alert and share location
626,"Market Road, Mumbai",Mumbai,19.061649,72.875221,Market Road,7,6,2,7,92,4,None,44.64,Medium,67.32,"19.061918,72.877717 -> 19.063258,72.880414 -> 19.067165,72.87542 -> 19.052057,72.878313 -> 19.060298,72.873217",True,call police,Emergency,Trigger emergency alert and share location
627,"Main Road, Vijayawada",Vijayawada,16.492254,80.632367,Main Road,10,1,4,2,14,8,None,31.77,Medium,82.69,"16.488355,80.629673 -> 16.493112,80.633924 -> 16.493858,80.630399 -> 16.489808,80.6311 -> 16.492854,80.636081 -> 16.487135,80.631815",True,call my father,Relative,Notify selected relative
628,"Bus Stop Area, Pune",Pune,18.473756,73.798872,Bus Stop Area,5,10,2,10,78,3,Sexual Harassment,38.77,Medium,78.06,"18.475118,73.799996 -> 18.476059,73.797673 -> 18.472674,73.804336 -> 18.47314,73.80071 -> 18.473772,73.794251 -> 18.468644,73.797425 -> 18.476396,73.800843",True,mom,Relative,Notify selected relative
629,"Park Road, Hyderabad",Hyderabad,17.416993,78.452153,Park Road,9,8,3,9,60,8,Assault,26.36,Low,96.72,"17.414581,78.452685 -> 17.416967,78.451718 -> 17.420339,78.45039 -> 17.413619,78.452203 -> 17.415993,78.460596",False,none,No Alert,No action
630,"Bus Stop Area, Bengaluru",Bengaluru,12.995278,77.580273,Bus Stop Area,6,7,9,3,75,3,Harassment,37.39,Medium,68.73,"12.990577,77.57771 -> 12.995565,77.583841 -> 12.998082,77.580846 -> 12.99447,77.580945 -> 12.993981,77.584569 -> 12.994805,77.580057 -> 12.989738,77.579784",False,none,No Alert,No action
631,"Main Road, Visakhapatnam",Visakhapatnam,17.716077,83.18113,Main Road,8,9,0,6,67,7,Harassment,35.66,Medium,71.19,"17.718059,83.177438 -> 17.718722,83.1798 -> 17.715106,83.17832 -> 17.717022,83.18728 -> 17.718031,83.178969 -> 17.718916,83.180338",True,help,Help,Trigger emergency alert and share location
632,"Residential Street, Bengaluru",Bengaluru,13.019707,77.622834,Residential Street,9,1,6,3,16,6,Stalking,32.09,Medium,65.49,"13.017197,77.625195 -> 13.020086,77.620275 -> 13.018123,77.618068 -> 13.019486,77.628361 -> 13.021719,77.62831",True,save me,Help,Trigger emergency alert and share location
633,"Main Road, Hyderabad",Hyderabad,17.415884,78.522662,Main Road,8,5,2,7,73,10,Harassment,35.7,Medium,86.47,"17.416827,78.522194 -> 17.418466,78.526297 -> 17.414684,78.520858",True,call my sister,Relative,Notify selected relative
634,"Park Road, Vijayawada",Vijayawada,16.51106,80.677102,Park Road,3,6,10,7,90,1,Sexual Harassment,43.41,Medium,72.88,"16.5075,80.681881 -> 16.509457,80.676439 -> 16.508803,80.683848",True,call my father,Relative,Notify selected relative
635,"Main Road, Pune",Pune,18.528872,73.826916,Main Road,5,7,4,9,69,10,Stalking,33.25,Medium,83.37,"18.530795,73.826447 -> 18.530974,73.824853 -> 18.52764,73.82189 -> 18.525562,73.831435",True,help,Help,Trigger emergency alert and share location
636,"Main Road, Pune",Pune,18.57785,73.859003,Main Road,9,6,0,1,49,6,None,40.52,Medium,75.69,"18.57745,73.858394 -> 18.577991,73.858691 -> 18.577312,73.861861 -> 18.578225,73.860784 -> 18.580428,73.859973 -> 18.575424,73.855621",True,dad,Relative,Notify selected relative
637,"Market Road, Pune",Pune,18.525607,73.850706,Market Road,9,2,8,3,17,6,None,28.16,Low,85.58,"18.525567,73.857165 -> 18.522281,73.845731 -> 18.526438,73.849765 -> 18.526397,73.852166",True,mom,Relative,Notify selected relative
638,"Bus Stop Area, Mumbai",Mumbai,19.120944,72.824947,Bus Stop Area,4,6,5,4,64,7,None,41.55,Medium,64.17,"19.122016,72.826873 -> 19.126428,72.827336 -> 19.120802,72.822721 -> 19.119533,72.823465 -> 19.122582,72.825589",False,none,No Alert,No action
639,"Industrial Road, Pune",Pune,18.474072,73.841443,Industrial Road,8,9,8,1,60,9,Harassment,26.36,Low,89.12,"18.474951,73.842865 -> 18.475029,73.845509 -> 18.474662,73.840478 -> 18.471783,73.842067 -> 18.46797,73.840982 -> 18.473557,73.838032 -> 18.471751,73.843467",True,call police,Emergency,Trigger emergency alert and share location
640,"Residential Street, Pune",Pune,18.528475,73.860263,Residential Street,4,8,1,1,50,3,None,48.41,Medium,57.52,"18.528707,73.86337 -> 18.528784,73.856617 -> 18.53255,73.861189 -> 18.527002,73.857129 -> 18.529465,73.85997",True,help,Help,Trigger emergency alert and share location
